Component_ID,Component_Name,Product_Model_Name,Material_Spec,Feature_Spec,Product_Description,Cross_Reference_Compatibility,Category_Key,SubCategory_Key,Quality_Key,Unit_of_Measure,Price_Local,Currency,Price_USD,Manufacturer,Country_Source,URL_Image,Notes,Category_SubCategory_Key
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-CL-LAUFEN-LAUFENSONARSHOWER,Ducha Premium,Laufen Sonar Shower,Ducha de acero inoxidable,Certificaciones: ISO 9001; Tecnología lluvia; Diseño minimalista,Ducha inteligente con diseño minimalista para baños premium.,Compatible con sistemas Laufen,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$320,000",CLP,,Laufen,35,https://www.laufen.com/es/productos/duchas/sonar,Disponible en distribuidores locales,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-CL-ROCA-ROCARAINSENSE,Ducha Premium,Roca RainSense,Ducha de acero inoxidable,Certificaciones: ISO 9001; Tecnología lluvia; Control digital,Ducha inteligente con control digital para baños premium.,Compatible con sistemas Roca,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$300,000",CLP,,Roca,35,https://www.roca.com/es/productos/duchas/rainsense,Disponible en distribuidores locales,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-CL-TOTO-TOTOHYDROHANDS,Ducha Premium,Toto Hydrohands,Ducha de acero inoxidable,Certificaciones: ISO 9001; Tecnología hidromasaje; Control digital,Ducha con hidromasaje y control digital para baños premium.,Compatible con sistemas Toto,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$350,000",CLP,,Toto,35,https://www.toto.com/es/productos/duchas/hydrohands,Disponible en distribuidores locales,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-PY-GROHE-GROHEEUPHORIASMARTCONTROLDUCHA,Ducha Premium 2,Grohe Euphoria SmartControl Ducha,"Acero inoxidable, vidrio",Diseño moderno; Regulación de flujo,Sistema de ducha contemporáneo con tecnología avanzada.,Compatible con grifos Grohe Eurosmart,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$3,800,000",PYG,,Grohe,137,https://www.juanconstruye.com.py/grohe-euphoria-ducha,Tecnología alemana,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-PY-HANSGROHE-HANSGROHERAINDANCEDUCHA,Ducha Premium 1,Hansgrohe Raindance Ducha,"Acero inoxidable, vidrio",Diseño de lluvia; Regulación de temperatura,Sistema de ducha con experiencia de lluvia natural.,Compatible con grifos Hansgrohe Axor,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$4,000,000",PYG,,Hansgrohe,137,https://www.sodimac.com.py/hansgrohe-raindance-ducha,Confort de lujo,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-PY-HANSGROHE-HANSGROHERAINDANCEE360,Smart Rainfall Shower,Hansgrohe Raindance E 360,Stainless Steel and Glass,Certifications: ISO 9001; Environmental: Water-saving; Smart controls,"Hansgrohe Raindance E 360 smart rainfall shower, designed for premium bathrooms. Features temperature control and IoT integration.",Compatible with Hansgrohe smart valves,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$3,500,000",PYG,,Hansgrohe,137,https://www.elinca.com.py/hansgrohe-raindance-e360,IoT-enabled,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-PY-ROCA-ROCARAINSENSEDUCHA,Ducha Premium 3,Roca RainSense Ducha,"Acero inoxidable, vidrio",Diseño ergonómico; Termostato digital,Sistema de ducha premium con control preciso de temperatura.,Compatible con grifos Roca L90,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$3,900,000",PYG,,Roca,137,https://www.rozen.com.py/roca-rainsense-ducha,Diseño sofisticado,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-UY-AQUALISA-AQUALISAQUARTZDUCHA,Ducha Premium 3,Aqualisa Quartz Ducha,"Acero inoxidable, vidrio",Diseño ergonómico; Termostato digital; Fácil instalación,Sistema de ducha premium con control preciso de temperatura.,Compatible con grifos Aqualisa,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$39,000",UYU,,Aqualisa,188,https://www.sodimac.com.uy/,Diseño sofisticado,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-UY-GROHE-GROHEEUPHORIASMARTCONTROLDUCHA,Ducha Premium 2,Grohe Euphoria SmartControl Ducha,"Acero inoxidable, vidrio",Diseño moderno; Regulación de flujo; Fácil limpieza,Sistema de ducha contemporáneo con tecnología avanzada.,Compatible con grifos Grohe Eurosmart,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$38,000",UYU,,Grohe,188,https://rozen.com.uy/,Tecnología alemana,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-UY-HANSGROHE-HANSGROHERAINDANCEDUCHA,Ducha Premium 1,Hansgrohe Raindance Ducha,"Acero inoxidable, vidrio",Diseño de lluvia; Regulación de temperatura; Fácil instalación,Sistema de ducha de alta gama con experiencia de lluvia natural.,Compatible con grifos Hansgrohe Axor,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,"$40,000",UYU,,Hansgrohe,188,http://juanconstruye.com.uy/,Confort de lujo,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWER-PREMIUM-UY-HANSGROHE-HANSGROHERAINDANCEE360,Smart Rainfall Shower,Hansgrohe Raindance E 360,Stainless Steel and Glass,Certifications: ISO 9001; Environmental: Water-saving; Smart controls,"Hansgrohe Raindance E 360 smart rainfall shower, designed for premium bathrooms. Features temperature control and IoT integration.",Compatible with Hansgrohe smart valves,BATHROOM_FIXTURES,SHOWER,PREMIUM,Pieza,$500,USD,,Hansgrohe,188,https://www.tiomusa.com.uy/hansgrohe-raindance-e360,IoT-enabled,BATHROOM_FIXTURES|SHOWER
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-AR-LAUFEN-LAUFENPRMLF01,Laufen Sonar Glass Panel,Laufen PRM-LF01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Laufen Sonar Glass Panel,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,"$246,250",ARS,,Laufen,7,0.0008527936,Auto-generated entry,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-AR-TOTO-TOTOPRMTT01,Toto ClearView Shower Screen,Toto PRM-TT01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Toto ClearView Shower Screen,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,"$310,743",ARS,,Toto,7,0.0008527936,Auto-generated entry,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-BR-INCEPA-INCEPAMAMPARAPREMIUM,Mampara de Chuveiro,Incepa - Mampara Premium,Vidro temperado de alta qualidade,Mampara personalizada,Mampara de vidro temperado personalizada para banheiros de luxo,Compatível com chuveiros de alta gama,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,$800,BRL,,Incepa,24,,Mampara premium para banheiros de alta qualidade,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-CL-LAUFEN-LAUFENSONARGLASS,Mampara Premium,Laufen Sonar Glass,Vidrio templado,Certificaciones: ISO 9001; Diseño minimalista; Antihuellas,Mampara de vidrio templado con diseño minimalista para duchas premium.,Compatible con duchas Laufen,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,"$220,000",CLP,,Laufen,35,https://www.laufen.com/es/productos/mamparas/sonar,Disponible en distribuidores locales,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-CL-ROCA-ROCACRYSTAL,Mampara Premium,Roca Crystal,Vidrio templado,Certificaciones: ISO 9001; Diseño transparente; Fácil limpieza,Mampara de vidrio templado para duchas premium.,Compatible con duchas Roca,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,"$200,000",CLP,,Roca,35,https://www.roca.com/es/productos/mamparas/crystal,Disponible en distribuidores locales,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-CL-TOTO-TOTOCLEARGLASS,Mampara Premium,Toto Clear Glass,Vidrio templado,Certificaciones: ISO 9001; Diseño moderno; Antihuellas,Mampara de vidrio templado con diseño moderno para duchas premium.,Compatible con duchas Toto,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,"$250,000",CLP,,Toto,35,https://www.toto.com/es/productos/mamparas/clear,Disponible en distribuidores locales,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-PY-LAUFEN-LAUFENPRMLF01,Laufen Sonar Glass Panel,Laufen PRM-LF01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Laufen Sonar Glass Panel,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,"$1,681,500",PYG,,Laufen,137,0.000124888459,Auto-generated entry,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-PY-TOTO-TOTOPRMTT01,Toto ClearView Shower Screen,Toto PRM-TT01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Toto ClearView Shower Screen,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,"$2,121,893",PYG,,Toto,137,0.000124888459,Auto-generated entry,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-UY-LAUFEN-LAUFENPRMLF01,Laufen Sonar Glass Panel,Laufen PRM-LF01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Laufen Sonar Glass Panel,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,"$8,811",UYU,,Laufen,188,0.023835,Auto-generated entry,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-SHOWERENCLOSURE-PREMIUM-UY-TOTO-TOTOPRMTT01,Toto ClearView Shower Screen,Toto PRM-TT01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Toto ClearView Shower Screen,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,PREMIUM,Pieza,"$11,118",UYU,,Toto,188,0.023835,Auto-generated entry,BATHROOM_FIXTURES|SHOWER_ENCLOSURE
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-AR-FERRUM-FERRUMANDINALUX,Inodoro Premium,Ferrum Andina Lux,Cerámica premium,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas; Descarga dual,Inodoro Ferrum Andina Lux con diseño elegante y sistema de descarga dual.,Compatible con válvulas FV,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$115,000",ARS,,Ferrum,7,https://www.sodimac.com.ar/ferrum-andina-lux-toilet,Diseño sofisticado,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-AR-GEBERIT-GEBERITICONRIMFREEWH,Toilet Standard,Geberit Icon Rimfree WH,CeramicPlus KeraTect,Wall-Hung SoftClose Seat,Premium wall-hung toilet (requires carrier),Wall Carrier System,BATHROOM_FIXTURES,TOILET,PREMIUM,unit,"$400,000",ARS,,Geberit,7,,Requires In-Wall Tank,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-AR-KOHLER-KOHLERVEILK6300,Premium Suspended Toilet,Kohler Veil K-6300,White Ceramic,Certifications: ISO 9001; Environmental: Low VOC emissions; Water-saving,Kohler Veil suspended white ceramic toilet designed for luxury bathrooms. Features sleek design and efficient flush system.,Compatible with Kohler smart valves,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$180,000",ARS,,Kohler,7,https://www.easy.com.ar/kohler-veil-k6300,Premium design,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-AR-PIAZZA-PIAZZAAMALFI,Inodoro Premium,Piazza Amalfi,Cerámica premium,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas; Descarga dual,Inodoro Piazza Amalfi con diseño moderno y tapa de cierre suave.,Compatible con válvulas Roca,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$118,000",ARS,,Piazza,7,https://www.sodimac.com.ar/piazza-amalfi-toilet,Confort premium,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-AR-ROCA-ROCATHEGAP,Inodoro Premium,Roca The Gap,Cerámica premium,Certificaciones: ISO 9001; Ambiental: Emisiones de VOC bajas; Descarga dual,Inodoro Roca The Gap con diseño suspendido y tecnología de ahorro de agua.,Compatible con válvulas Geberit,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$120,000",ARS,,Roca,7,https://www.roca.com.ar/the-gap-toilet,Eficiencia hídrica,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-BR-DECA-DECABENTOINODORO,Inodoro Premium,Deca Bento Inodoro,Cerámica premium,Certificaciones: ISO 9001; Descarga dual,Inodoro cerámico con diseño elegante y sistema de descarga dual.,Compatible con válvulas Deca,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$5,500",BRL,,Deca,24,do not cite]deca-bento-inodoro,Diseño sofisticado,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-BR-DURAVIT-DURAVITMEBYSTARCKINODOROSUSPENDIDO,Sanitarios Suspendidos,Duravit ME by Starck Inodoro Suspendido,Cerámica premium,Certificaciones: ISO 9001; Descarga dual; Diseño moderno,Inodoro suspendido con diseño elegante y funcional.,Compatible con válvulas Duravit,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$5,500",BRL,,Duravit,24,https://www.telhanorte.com.br/duravit-me-by-starck-inodoro-suspendido,Diseño sofisticado,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-BR-DURAVIT-DURAVITZENCHAINODORO,Inodoro Premium,Duravit Zencha Inodoro,Cerámica premium,Certificaciones: ISO 9001; Descarga dual,Inodoro cerámico con diseño moderno y tapa de cierre suave.,Compatible con válvulas Duravit,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$5,800",BRL,,Duravit,24,do not cite]duravit-zencha-inodoro,Confort premium,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-BR-INCEPA-INCEPAVASOSANITARIOPREMIUM,Vaso Sanitário,Incepa - Vaso Sanitário Premium,Cerâmica de alta qualidade,Descarga inteligente,Vaso sanitário cerâmico com descarga inteligente para banheiros de luxo,Compatível com instalações de alta gama,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,$600,BRL,,Incepa,24,,Vaso sanitário premium para banheiros de alta qualidade,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-BR-KOHLER-KOHLERCIMARRONINODOROSUSPENDIDO,Sanitarios Suspendidos,Kohler Cimarron Inodoro Suspendido,Cerámica premium,Certificaciones: ISO 9001; Descarga dual; Diseño clásico,Inodoro suspendido con diseño tradicional y alta eficiencia.,Compatible con válvulas Kohler,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$5,800",BRL,,Kohler,24,https://www.leroymerlin.com.br/kohler-cimarron-inodoro-suspendido,Confort premium,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-BR-ROCA-ROCAINSPIRAWALLHUNG,Toilet Standard,Roca Inspira Wall Hung,Fineceramic Rimless,Wall Hung Soft Close,Premium Wall Hung BRAZIL,Wall Carrier System,BATHROOM_FIXTURES,TOILET,PREMIUM,unit,"$2,500",BRL,,Roca,24,,,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-BR-ROCA-ROCATHEGAPINODORO,Inodoro Premium,Roca The Gap Inodoro,Cerámica premium,Certificaciones: ISO 9001; Descarga dual,Inodoro cerámico con diseño suspendido y tecnología de ahorro de agua.,Compatible con válvulas Geberit,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$6,000",BRL,,Roca,24,do not cite]roca-the-gap-inodoro,Eficiencia hídrica,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-BR-ROCA-ROCATHEGAPINODOROSUSPENDIDO,Sanitarios Suspendidos,Roca The Gap Inodoro Suspendido,Cerámica premium,Certificaciones: ISO 9001; Descarga dual; Diseño minimalista,Inodoro suspendido con tecnología avanzada para ahorro de agua y espacio.,Compatible con válvulas Geberit,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$6,000",BRL,,Roca,24,https://www.leroymerlin.com.br/roca-the-gap-inodoro-suspendido,Eficiencia hídrica,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-CL-KOHLER-KOHLERVEILK6300,Premium Suspended Toilet,Kohler Veil K-6300,White Ceramic,Certifications: ISO 9001; Environmental: Low VOC emissions; Water-saving,Kohler Veil suspended white ceramic toilet designed for luxury bathrooms. Features sleek design and efficient flush system.,Compatible with Kohler smart valves,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$1,400,000",CLP,,Kohler,35,https://www.sodimac.cl/kohler-veil-k6300,Premium design,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-CL-LAUFEN-LAUFENCLEANETNAVIA,Inodoro Premium,Laufen Cleanet Navia,Cerámica,Certificaciones: ISO 9001; Descarga dual; Tecnología de limpieza,Inodoro suspendido con funciones de limpieza para baños premium.,Compatible con sistemas Laufen,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$280,000",CLP,,Laufen,35,https://www.laufen.com/es/productos/inodoros/cleanet,Disponible en distribuidores locales,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-CL-ROCA-ROCAINWASHSUSPENDIDO,Inodoro Premium,Roca In-Wash Suspendido,Cerámica,Certificaciones: ISO 9001; Descarga dual; Tecnología Rimless,Inodoro suspendido con tecnología inteligente para baños premium.,Compatible con sistemas Roca,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$250,000",CLP,,Roca,35,https://www.roca.com/es/productos/inodoros/in-wash,Disponible en distribuidores locales,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-CL-TOTO-TOTONEORESTAH,Inodoro Premium,Toto Neorest AH,Cerámica,Certificaciones: ISO 9001; Descarga dual; Tecnología Washlet,Inodoro suspendido con tecnología Washlet para baños premium.,Compatible con sistemas Toto,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$300,000",CLP,,Toto,35,https://www.toto.com/es/productos/inodoros/neorest,Disponible en distribuidores locales,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-PY-DURAVIT-DURAVITMEBYSTARCKINODORO,Inodoro Premium 1,Duravit ME by Starck Inodoro,Cerámica premium,Descarga dual; Diseño minimalista,Inodoro con tecnología avanzada para ahorro de agua.,Compatible con válvulas Geberit,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$3,000,000",PYG,,Duravit,137,https://www.sodimac.com.py/duravit-me-by-starck-inodoro,Eficiencia hídrica,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-PY-KOHLER-KOHLERCIMARRONINODORO,Inodoro Premium 2,Kohler Cimarron Inodoro,Cerámica premium,Descarga potente; Diseño clásico,Inodoro tradicional con alta calidad y durabilidad.,Compatible con válvulas Kohler,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$2,800,000",PYG,,Kohler,137,https://www.juanconstruye.com.py/kohler-cimarron-inodoro,Estilo atemporal,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-PY-KOHLER-KOHLERVEILK6300,Premium Suspended Toilet,Kohler Veil K-6300,White Ceramic,Certifications: ISO 9001; Environmental: Low VOC emissions; Water-saving,Kohler Veil suspended white ceramic toilet designed for luxury bathrooms. Features sleek design and efficient flush system.,Compatible with Kohler smart valves,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$3,150,000",PYG,,Kohler,137,https://www.elinca.com.py/kohler-veil-k6300,Premium design,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-PY-ROCA-ROCATHEGAPINODORO,Inodoro Premium 3,Roca The Gap Inodoro,Cerámica premium,Descarga dual; Diseño moderno,Inodoro con diseño contemporáneo y alta eficiencia.,Compatible con válvulas Roca,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$2,900,000",PYG,,Roca,137,https://www.rozen.com.py/roca-the-gap-inodoro,Tecnología avanzada,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-UY-DURAVIT-DURAVITMEBYSTARCKINODORO,Inodoro Premium 1,Duravit ME by Starck Inodoro,Cerámica premium,Diseño minimalista; Descarga dual; Fácil limpieza,Inodoro de alta tecnología con diseño vanguardista y eficiencia en el uso del agua.,Compatible con válvulas Geberit,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$30,000",UYU,,Duravit,188,http://juanconstruye.com.uy/,Eficiencia hídrica,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-UY-KOHLER-KOHLERCIMARRONINODORO,Inodoro Premium 2,Kohler Cimarron Inodoro,Cerámica premium,Diseño clásico; Descarga potente; Fácil instalación,Inodoro tradicional de Kohler con alta calidad y durabilidad.,Compatible con válvulas Kohler,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$28,000",UYU,,Kohler,188,https://rozen.com.uy/,Estilo atemporal,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-UY-KOHLER-KOHLERVEILK6300,Premium Suspended Toilet,Kohler Veil K-6300,White Ceramic,Certifications: ISO 9001; Environmental: Low VOC emissions; Water-saving,Kohler Veil suspended white ceramic toilet designed for luxury bathrooms. Features sleek design and efficient flush system.,Compatible with Kohler smart valves,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,$450,USD,,Kohler,188,https://www.tiomusa.com.uy/kohler-veil-k6300,Premium design,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-TOILET-PREMIUM-UY-TOTO-TOTONEORESTINODORO,Inodoro Premium 3,TOTO Neorest Inodoro,Cerámica premium,Diseño compacto; Descarga eficiente; Fácil limpieza,Inodoro de TOTO con tecnología avanzada para ahorro de agua y fácil mantenimiento.,Compatible con válvulas TOTO,BATHROOM_FIXTURES,TOILET,PREMIUM,Pieza,"$29,000",UYU,,TOTO,188,https://www.sodimac.com.uy/,Tecnología japonesa,BATHROOM_FIXTURES|TOILET
COMP-BATHROOMFIXTURES-VENTILATIONEXTRACTOR-PREMIUM-AR-LAUFEN-LAUFENVENTLF01,Laufen Airflow Extractor,Laufen VENT-LF01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Laufen Airflow Extractor,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,VENTILATION_EXTRACTOR,PREMIUM,Pieza,"$140,714",ARS,,Laufen,7,0.0008527936,Auto-generated entry,BATHROOM_FIXTURES|VENTILATION_EXTRACTOR
COMP-BATHROOMFIXTURES-VENTILATIONEXTRACTOR-PREMIUM-AR-TOTO-TOTOVENTTT01,Toto Silent Eco Vent,Toto VENT-TT01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Toto Silent Eco Vent,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,VENTILATION_EXTRACTOR,PREMIUM,Pieza,"$158,303",ARS,,Toto,7,0.0008527936,Auto-generated entry,BATHROOM_FIXTURES|VENTILATION_EXTRACTOR
COMP-BATHROOMFIXTURES-VENTILATIONEXTRACTOR-PREMIUM-BR-INCEPA-INCEPAEXTRATORPREMIUM,Extratores,Incepa - Extrator Premium,Plástico de alta qualidade,Ventilaçío inteligente,Extrator de plástico com ventilaçío inteligente para banheiros de luxo,Compatível com instalações de alta gama,BATHROOM_FIXTURES,VENTILATION_EXTRACTOR,PREMIUM,Pieza,$320,BRL,,Incepa,24,,Extrator premium para banheiros de alta qualidade,BATHROOM_FIXTURES|VENTILATION_EXTRACTOR
COMP-BATHROOMFIXTURES-VENTILATIONEXTRACTOR-PREMIUM-CL-LAUFEN-LAUFENAIRFLOW,Extractor Premium,Laufen Airflow,Plástico,Certificaciones: ISO 9001; Bajo ruido; Diseño minimalista,Extractor de aire con diseño minimalista para baños premium.,Compatible con sistemas Laufen,BATHROOM_FIXTURES,VENTILATION_EXTRACTOR,PREMIUM,Pieza,"$120,000",CLP,,Laufen,35,https://www.laufen.com/es/productos/extractores/airflow,Disponible en distribuidores locales,BATHROOM_FIXTURES|VENTILATION_EXTRACTOR
COMP-BATHROOMFIXTURES-VENTILATIONEXTRACTOR-PREMIUM-CL-ROCA-ROCASILENTVENT,Extractor Premium,Roca Silent Vent,Plástico,Certificaciones: ISO 9001; Bajo ruido; Diseño moderno,Extractor de aire con diseño elegante para baños premium.,Compatible con sistemas Roca,BATHROOM_FIXTURES,VENTILATION_EXTRACTOR,PREMIUM,Pieza,"$100,000",CLP,,Roca,35,https://www.roca.com/es/productos/extractores/silent-vent,Disponible en distribuidores locales,BATHROOM_FIXTURES|VENTILATION_EXTRACTOR
COMP-BATHROOMFIXTURES-VENTILATIONEXTRACTOR-PREMIUM-CL-TOTO-TOTOECOVENT,Extractor Premium,Toto Eco Vent,Plástico,Certificaciones: ISO 9001; Bajo ruido; Tecnología avanzada,Extractor de aire con tecnología avanzada para baños premium.,Compatible con sistemas Toto,BATHROOM_FIXTURES,VENTILATION_EXTRACTOR,PREMIUM,Pieza,"$140,000",CLP,,Toto,35,https://www.toto.com/es/productos/extractores/eco-vent,Disponible en distribuidores locales,BATHROOM_FIXTURES|VENTILATION_EXTRACTOR
COMP-BATHROOMFIXTURES-VENTILATIONEXTRACTOR-PREMIUM-PY-LAUFEN-LAUFENVENTLF01,Laufen Airflow Extractor,Laufen VENT-LF01,Plastic and electronics,Certifications: ISO 9001; Wi-Fi enabled; Energy-saving,Laufen Airflow Extractor,Compatible with Haüsa control interfaces,BATHROOM_FIXTURES,VENTILATION_EXTRACTOR,PREMIUM,Pieza,"$960,857",PYG,,Laufen,137,0.000124888459,Auto-generated entry,BATHROOM_FIXTURES|VENTILATION_EXTRACTOR
